ORD,11903094
ATL,11020118
DFW,10362188
LAX,7384201
PHX,6341564
DEN,5949043
DTW,5416794
IAH,5309030
MSP,5006742
SFO,4909367
EWR,4885422
STL,4867695
LAS,4818317
CLT,4621383
BOS,4111826
LGA,4108439
PHL,3911786
PIT,3698319
SLC,3679678
SEA,3593879
MCO,3576645
CVG,3560424
DCA,3285858
BWI,3095598
SAN,2786550
CLE,2589167
MIA,2588048
IAD,2449983
JFK,2408984
TPA,2364465
MDW,2181381
HOU,2163407
OAK,2132644
MEM,2121364
MCI,2117884
BNA,2111585
SJC,1987961
PDX,1911833
FLL,1825770
RDU,1825376
DAL,1729433
MSY,1711739
IND,1485498
SNA,1484180
SMF,1478948
SAT,1456469
AUS,1454372
ONT,1396395
CMH,1378688
ABQ,1366585
BDL,1159746
BUR,1048619
PBI,954634
HNL,943024
JAX,929536
RNO,923033
ELP,922181
BUF,871013
OKC,858427
TUL,834639
SJU,834551
SDF,825408
PVD,803325
MKE,796699
ORF,760057
TUS,745933
OMA,729743
BHM,729103
RSW,719920
ANC,716261
GSO,692981
ROC,654148
DAY,649665
RIC,641248
LIT,591848
SYR,571327
ALB,526817
COS,491325
GEG,475502
MHT,446143
BOI,436385
GRR,435192
CHS,395027
DSM,392332
ICT,374615
GSP,363342
TYS,363268
JAN,339660
SAV,329814
OGG,307422
LBB,306802
MDT,304384
CAE,300025
SRQ,295803
PWM,291639
HSV,290609
PNS,283898
LGB,279183
ISP,278384
MAF,276531
MSN,269405
PSP,268317
BTR,267397
FAT,248573
CID,234669
LEX,232816
AMA,232777
HPN,232371
SHV,229083
ABE,226306
SBA,221796
CRP,221044
MOB,212126
HRL,205577
BTV,196705
FSD,183743
FAI,180273
TLH,177057
XNA,166467
BIL,162289
JNU,161109
GRB,158433
DAB,153082
SGF,151859
MYR,150197
CAK,146604
KOA,146433
LIH,141063
FWA,139567
MBS,136637
MLI,133544
EUG,132207
BZN,128091
MFE,126638
CHA,125322
ROA,124278
MRY,123858
LAN,121863
SBN,120582
FAR,118147
MLB,117872
AZO,114980
LNK,112196
SWF,110161
RST,108055
GTF,107881
CRW,107595
STT,106373
VPS,106081
AVL,104793
FNT,104645
TOL,104523
ILM,101612
MSO,101205
MFR,101194
BGR,98718
RAP,96288
AGS,96144
MGM,95131
MLU,93003
KTN,92824
GPT,91130
TRI,86754
EVV,86286
AVP,85010
JAC,83758
BIS,83742
PHF,82352
SBP,78583
PIA,76807
FAY,76338
LFT,71127
PSC,69817
BFL,68350
ITO,68303
TVC,65407
IDA,64673
GNV,63993
GJT,62278
FCA,61683
DLH,60032
SIT,51163
ERI,51061
LSE,50718
PFN,48578
HLN,48307
DET,48252
MOT,48123
CMI,48096
CPR,47677
BGM,46756
EGE,46349
STX,46320
ACV,45484
ATW,45108
BMI,43808
GFK,43239
GRK,43038
YUM,40302
ELM,40292
ABI,39323
ACT,38339
OME,38279
RDM,38046
TYR,37284
OTZ,37272
SGU,37173
CLL,36852
DRO,36089
HDN,35778
SUN,35773
BET,35679
CSG,34010
CHO,33921
AEX,33813
FSM,33784
LRD,33116
MTJ,32869
LAW,32671
SPS,32180
SJT,30230
ITH,30206
HTS,28793
BRO,28597
FLG,27928
CLD,27760
SUX,27689
ASE,27272
EYW,27176
CDV,27165
WRG,26964
YAK,26961
PSG,26940
GUM,26923
EKO,24789
BRW,24669
TWF,24235
MOD,23336
ILE,23192
RDD,23072
SMX,22689
TXK,21497
PIH,21328
ORH,21257
DHN,20700
SCC,20691
BTM,19903
ADQ,19362
DBQ,18654
OXR,18538
GGG,17443
OAJ,17387
BPT,16911
ACY,16387
BQN,16333
LCH,15793
SPN,15686
ABY,15678
LYH,14861
GTR,14858
MCN,14403
VLD,14346
GUC,14300
HVN,14260
CIC,14105
BQK,13697
COD,13177
SCE,12908
MEI,12383
CEC,12340
IYK,11882
BLI,11591
DUT,11589
SPI,11436
AKN,11386
IPL,11087
PIE,11043
MQT,10847
CWA,10505
PUB,10205
FLO,9888
DLG,9273
ISO,8261
GCN,7487
CDC,7397
EFD,7279
UCA,6778
PMD,6579
APF,5898
CCR,5588
PSE,5522
LWS,5273
VCT,4879
TVL,4218
VIS,3975
TUP,3954
ROP,3876
ROR,3692
SCK,3665
ACK,3633
HHH,3547
GST,3401
LWB,3372
TTN,3358
WYS,3249
RFD,3142
EWN,2549
ALO,2084
ROW,2049
YKM,1963
SLE,1764
ILG,1564
PLN,1551
GCC,1492
HKY,1344
TEX,1310
RKS,1194
ADK,1148
CMX,1059
EAU,993
ANI,895
KSM,882
YAP,836
MKG,788
RHI,782
SOP,636
INL,580
LNY,579
MKK,577
OTH,543
LMT,542
BJI,404
MTH,255
MAZ,239
MIB,178
RDR,92
OGD,25
CKB,14
CYS,14
PVU,13
FMN,8
PIR,8
GLH,4
MKC,3
BFF,3
